id,duration,intensity,cog,sdev,skew,kurt,Segment,Vowel,Variety,Stress,Voice,Position
2435,0.106049932,29.84676259,10102.8107251846,2813.0903823465,-1.3524072332,2.7636203322,s,a,CG,Stressed,Voiceless,Initial
2436,0.0725604798,31.758854853,4104.8461114258,4168.3548429546,0.9258654091,-0.4239426939,s,a,CG,Unstressed,Voiceless,Initial
2437,0.1420416213,34.8366162692,10932.0021199535,1750.8351898735,-0.3321534843,4.3643635949,s,a,CG,Stressed,Voiceless,Initial
2438,0.0914129246,31.1905946274,4807.8906498863,2984.833259353,1.9910387902,3.2393363879,s,a,CG,Unstressed,Voiceless,Initial
2439,0.1420416213,34.8366162692,10932.0021199535,1750.8351898735,-0.3321534843,4.3643635949,s,a,CG,Stressed,Voiceless,Initial
2440,0.0914129246,31.1905946274,4807.8906498863,2984.833259353,1.9910387902,3.2393363879,s,a,CG,Unstressed,Voiceless,Initial
2441,0.0785266168,28.7703003777,10634.3328496984,2803.5239416704,-1.8966150023,5.0183142521,s,a,CG,Stressed,Voiceless,Initial
2442,0.0479884881,30.6937869266,8534.6562550942,4130.7713122787,-0.4602733792,-0.347556588,s,a,CG,Unstressed,Voiceless,Initial
2443,0.0785266168,28.7703003777,10634.3328496984,2803.5239416704,-1.8966150023,5.0183142521,s,a,CG,Stressed,Voiceless,Initial
2444,0.0479884881,30.6937869266,8534.6562550942,4130.7713122787,-0.4602733792,-0.347556588,s,a,CG,Unstressed,Voiceless,Initial
2445,0.1048043737,25.9128886701,10435.7589681233,2783.8350584382,-1.7868054473,5.3711976933,s,a,CG,Stressed,Voiceless,Initial
2446,0.0925771967,31.9139142519,11230.1408944116,2833.2170789665,-1.8884546015,5.2601388973,s,a,CG,Unstressed,Voiceless,Initial
2447,0.1048043737,25.9128886701,10435.7589681233,2783.8350584382,-1.7868054473,5.3711976933,s,a,CG,Stressed,Voiceless,Initial
2448,0.0925771967,31.9139142519,11230.1408944116,2833.2170789665,-1.8884546015,5.2601388973,s,a,CG,Unstressed,Voiceless,Initial
2449,0.1092737395,25.3376564966,10689.4175837604,1854.5357517109,-0.6439060842,2.1059944391,s,a,CG,Stressed,Voiceless,Initial
2450,0.1283532813,30.9309884532,10686.9771981038,1654.0202850298,-0.9420987538,3.3416429915,s,a,CG,Unstressed,Voiceless,Initial
2451,0.1092737395,25.3376564966,10689.4175837604,1854.5357517109,-0.6439060842,2.1059944391,s,a,CG,Stressed,Voiceless,Initial
2452,0.1283532813,30.9309884532,10686.9771981038,1654.0202850298,-0.9420987538,3.3416429915,s,a,CG,Unstressed,Voiceless,Initial
2453,0.1484497651,40.0240463618,10461.257605351,1749.2889896698,-0.6541360487,2.8290432605,s,a,CG,Stressed,Voiceless,Initial
2454,0.1150902673,27.4146776835,10874.5466405197,1496.8966819799,-0.9682538693,3.6543097272,s,a,CG,Unstressed,Voiceless,Initial
2455,0.1484497651,40.0240463618,10461.257605351,1749.2889896698,-0.6541360487,2.8290432605,s,a,CG,Stressed,Voiceless,Initial
2456,0.1150902673,27.4146776835,10874.5466405197,1496.8966819799,-0.9682538693,3.6543097272,s,a,CG,Unstressed,Voiceless,Initial
2457,0.1105140285,35.3449277181,10664.9565780662,1860.70815192,-0.4405304967,1.614941903,s,a,CG,Stressed,Voiceless,Initial
2458,0.1151187797,28.454032997,10901.3667065771,1659.6758101904,-0.5414332946,2.7360355072,s,a,CG,Unstressed,Voiceless,Initial
2459,0.1105140285,35.3449277181,10664.9565780662,1860.70815192,-0.4405304967,1.614941903,s,a,CG,Stressed,Voiceless,Initial
2460,0.1151187797,28.454032997,10901.3667065771,1659.6758101904,-0.5414332946,2.7360355072,s,a,CG,Unstressed,Voiceless,Initial
2461,0.114049565,42.8581889655,10745.0009823191,1767.4263490974,-0.7417394532,0.9982959543,s,a,CG,Stressed,Voiceless,Initial
2462,0.1197520433,22.7736827133,10647.3980392235,1780.8190651662,-1.1315941055,1.9448285046,s,a,CG,Unstressed,Voiceless,Initial
2463,0.114049565,42.8581889655,10745.0009823191,1767.4263490974,-0.7417394532,0.9982959543,s,a,CG,Stressed,Voiceless,Initial
2464,0.1197520433,22.7736827133,10647.3980392235,1780.8190651662,-1.1315941055,1.9448285046,s,a,CG,Unstressed,Voiceless,Initial
2465,0.1117685737,30.6104321567,9788.8452147357,3372.0168150566,-1.3615156085,1.5737409867,s,a,CG,Stressed,Voiceless,Initial
2466,0.1021884103,29.0348914569,9357.164936867,4079.9728072991,-1.1948011016,0.2198115599,s,a,CG,Unstressed,Voiceless,Initial
2467,0.1117685737,30.6104321567,9788.8452147357,3372.0168150566,-1.3615156085,1.5737409867,s,a,CG,Stressed,Voiceless,Initial
2468,0.1021884103,29.0348914569,9357.164936867,4079.9728072991,-1.1948011016,0.2198115599,s,a,CG,Unstressed,Voiceless,Initial
2469,0.1201512168,35.801058578,11486.1474906206,1401.3823692746,-1.2253764097,10.6142600596,s,a,CG,Stressed,Voiceless,Initial
2470,0.0786704395,34.2069159441,11204.3186612259,1780.1713687796,-2.675706346,15.0052574679,s,a,CG,Unstressed,Voiceless,Initial
2471,0.1201512168,35.801058578,11486.1474906206,1401.3823692746,-1.2253764097,10.6142600596,s,a,CG,Stressed,Voiceless,Initial
2472,0.0786704395,34.2069159441,11204.3186612259,1780.1713687796,-2.675706346,15.0052574679,s,a,CG,Unstressed,Voiceless,Initial
2473,0.0830898602,39.6793528879,10424.3949971434,1937.4145266387,-3.3146991863,14.8336129896,s,a,CG,Stressed,Voiceless,Initial
2474,0.0766983325,36.9737631931,10637.3916585394,2155.7606839405,-1.9724331113,7.1453944137,s,a,CG,Unstressed,Voiceless,Initial
2475,0.0830898602,39.6793528879,10424.3949971434,1937.4145266387,-3.3146991863,14.8336129896,s,a,CG,Stressed,Voiceless,Initial
2476,0.0766983325,36.9737631931,10637.3916585394,2155.7606839405,-1.9724331113,7.1453944137,s,a,CG,Unstressed,Voiceless,Initial
2477,0.1015041129,39.2836721162,10928.9159319631,1673.818286084,-2.2840999123,13.3331609687,s,a,CG,Stressed,Voiceless,Initial
2478,0.0676694086,37.6520289235,10641.3635444526,2989.5608409934,-2.0241825221,4.1608427843,s,a,CG,Unstressed,Voiceless,Initial
2479,0.1015041129,39.2836721162,10928.9159319631,1673.818286084,-2.2840999123,13.3331609687,s,a,CG,Stressed,Voiceless,Initial
2480,0.0676694086,37.6520289235,10641.3635444526,2989.5608409934,-2.0241825221,4.1608427843,s,a,CG,Unstressed,Voiceless,Initial
2481,0.1082758058,35.912908416,9096.6334760914,2527.5755859806,-0.3192890027,0.1570532689,s,a,CG,Stressed,Voiceless,Initial
2482,0.0768408944,45.6542291299,10020.7643118285,1614.4169502059,-1.1389433354,5.8528434724,s,a,CG,Unstressed,Voiceless,Initial
2483,0.1082758058,35.912908416,9096.6334760914,2527.5755859806,-0.3192890027,0.1570532689,s,a,CG,Stressed,Voiceless,Initial
2484,0.0768408944,45.6542291299,10020.7643118285,1614.4169502059,-1.1389433354,5.8528434724,s,a,CG,Unstressed,Voiceless,Initial
2485,0.1862714521,30.4770205477,10423.2548230005,1952.6884371922,-0.9303897483,3.6299577271,s,a,CG,Stressed,Voiceless,Initial
2486,0.0897855201,38.3897176327,9432.5122660416,2238.4656797282,-0.9703870493,0.7888386116,s,a,CG,Unstressed,Voiceless,Initial
2487,0.1862714521,30.4770205477,10423.2548230005,1952.6884371922,-0.9303897483,3.6299577271,s,a,CG,Stressed,Voiceless,Initial
2488,0.0897855201,38.3897176327,9432.5122660416,2238.4656797282,-0.9703870493,0.7888386116,s,a,CG,Unstressed,Voiceless,Initial
2489,0.1098867559,31.3794788271,10512.4252405797,1630.1674017322,-0.9245877786,6.0781732026,s,a,CG,Stressed,Voiceless,Initial
2490,0.1018462616,34.002235497,10387.9407028941,1939.1352268376,-1.4316717788,2.9087009692,s,a,CG,Unstressed,Voiceless,Initial
2491,0.1098867559,31.3794788271,10512.4252405797,1630.1674017322,-0.9245877786,6.0781732026,s,a,CG,Stressed,Voiceless,Initial
2492,0.1018462616,34.002235497,10387.9407028941,1939.1352268376,-1.4316717788,2.9087009692,s,a,CG,Unstressed,Voiceless,Initial
2493,0.1079431612,39.4449621365,9957.7706007728,2267.0194361503,-1.0511138665,1.440033118,s,a,CG,Stressed,Voiceless,Initial
2494,0.0676931689,45.4382937514,10694.9584242493,1765.4572877584,-1.2340308989,5.2149267039,s,a,CG,Unstressed,Voiceless,Initial
2495,0.1079431612,39.4449621365,9957.7706007728,2267.0194361503,-1.0511138665,1.440033118,s,a,CG,Stressed,Voiceless,Initial
2496,0.0676931689,45.4382937514,10694.9584242493,1765.4572877584,-1.2340308989,5.2149267039,s,a,CG,Unstressed,Voiceless,Initial
2497,0.1272793146,48.3233990793,10806.9774283438,2351.1828584015,-1.6238045753,5.8611280993,s,a,CG,Stressed,Voiceless,Initial
2498,0.1341222885,41.5074326823,11168.7688959296,1839.6300258583,-1.2308557452,8.3506866011,s,a,CG,Unstressed,Voiceless,Initial
2499,0.1272793146,48.3233990793,10806.9774283438,2351.1828584015,-1.6238045753,5.8611280993,s,a,CG,Stressed,Voiceless,Initial
2500,0.1341222885,41.5074326823,11168.7688959296,1839.6300258583,-1.2308557452,8.3506866011,s,a,CG,Unstressed,Voiceless,Initial
2501,0.2016538872,40.9691378894,10877.7688626934,2743.9527858994,-1.1451504179,2.6504158547,s,a,CG,Stressed,Voiceless,Initial
2502,0.113978284,41.2777604732,11064.0410576848,2550.8687841286,-2.0503007298,5.8347859821,s,a,CG,Unstressed,Voiceless,Initial
2503,0.2016538872,40.9691378894,10877.7688626934,2743.9527858994,-1.1451504179,2.6504158547,s,a,CG,Stressed,Voiceless,Initial
2504,0.113978284,41.2777604732,11064.0410576848,2550.8687841286,-2.0503007298,5.8347859821,s,a,CG,Unstressed,Voiceless,Initial
2505,0.1033446653,35.6011545399,10562.6593347963,1643.8271301648,-1.081750957,10.4868491778,s,a,CG,Stressed,Voiceless,Initial
2506,0.0856550379,43.9742394646,11257.5881059265,1428.0911761942,-1.8121540694,13.9903177136,s,a,CG,Unstressed,Voiceless,Initial
2507,0.1033446653,35.6011545399,10562.6593347963,1643.8271301648,-1.081750957,10.4868491778,s,a,CG,Stressed,Voiceless,Initial
2508,0.0856550379,43.9742394646,11257.5881059265,1428.0911761942,-1.8121540694,13.9903177136,s,a,CG,Unstressed,Voiceless,Initial
2509,0.1283047424,47.5609197991,9709.0821002767,3009.9412337237,-0.9158041881,1.3158107712,s,a,CG,Stressed,Voiceless,Initial
2510,0.1262681591,50.5791511898,10184.3176792524,3182.1755072365,-1.5728360841,3.1386163502,s,a,CG,Unstressed,Voiceless,Initial
2511,0.1283047424,47.5609197991,9709.0821002767,3009.9412337237,-0.9158041881,1.3158107712,s,a,CG,Stressed,Voiceless,Initial
2512,0.1262681591,50.5791511898,10184.3176792524,3182.1755072365,-1.5728360841,3.1386163502,s,a,CG,Unstressed,Voiceless,Initial
2513,0.1140685733,48.1376648907,10821.0573670082,2172.8606887237,-0.7765811094,4.1426035084,s,a,CG,Stressed,Voiceless,Initial
2514,0.1308433635,46.7914251606,9476.6788823058,4139.0884619035,-1.1898480947,0.3462159424,s,a,CG,Unstressed,Voiceless,Initial
2515,0.1140685733,48.1376648907,10821.0573670082,2172.8606887237,-0.7765811094,4.1426035084,s,a,CG,Stressed,Voiceless,Initial
