"","Word","Freq","Prop"
"1","the",1630,0.0616326993609861
"2","and",844,0.0319128823685106
"3","to",721,0.0272620713124362
"4","a",627,0.0237077929443793
"5","she",537,0.0203047604643249
"6","it",526,0.0198888342723182
"7","of",508,0.0192082277763073
"8","said",462,0.0174689000642795
"9","i",400,0.015124588800242
"10","alice",385,0.0145574167202329
"11","in",366,0.0138389987522214
"12","you",360,0.0136121299202178
"13","was",357,0.013498695504216
"14","that",276,0.010435966272167
"15","as",262,0.0099066056641585
"16","her",248,0.00937724505615004
"17","at",209,0.00790259764812644
"18","on",193,0.00729761409611676
"19","with",181,0.0068438764321095
"20","all",179,0.00676825348810829
"21","had",178,0.00673044201610769
"22","but",164,0.00620108140809922
"23","for",153,0.00578515521609256
"24","so",150,0.00567172080009075
"25","be",146,0.00552047491208833
"26","not",144,0.00544485196808712
"27","very",144,0.00544485196808712
"28","what",136,0.00514236019208228
"29","this",134,0.00506673724808107
"30","little",128,0.00483986841607744
"31","they",127,0.00480205694407683
"32","he",120,0.0045373766400726
"33","out",113,0.00427269633606836
"34","is",102,0.00385677014406171
"35","down",101,0.0038189586720611
"36","one",101,0.0038189586720611
"37","up",98,0.00370552425605929
"38","his",96,0.00362990131205808
"39","about",94,0.00355427836805687
"40","if",94,0.00355427836805687
"41","then",90,0.00340303248005445
"42","no",87,0.00328959806405263
"43","know",85,0.00321397512005142
"44","like",85,0.00321397512005142
"45","were",85,0.00321397512005142
"46","them",84,0.00317616364805082
"47","herself",83,0.00313835217605021
"48","went",83,0.00313835217605021
"49","would",83,0.00313835217605021
"50","again",82,0.00310054070404961
"51","do",81,0.003062729232049
"52","have",80,0.0030249177600484
"53","when",79,0.00298710628804779
"54","could",77,0.00291148334404658
"55","or",76,0.00287367187204598
"56","there",75,0.00283586040004537
"57","thought",74,0.00279804892804477
"58","off",73,0.00276023745604416
"59","me",68,0.00257118009604114
"60","queen",68,0.00257118009604114
"61","time",68,0.00257118009604114
"62","into",67,0.00253336862404053
"63","see",66,0.00249555715203993
"64","how",64,0.00241993420803872
"65","did",62,0.00234431126403751
"66","your",62,0.00234431126403751
"67","king",61,0.0023064997920369
"68","who",61,0.0023064997920369
"69","",60,0.0022686883200363
"70","don t",60,0.0022686883200363
"71","well",60,0.0022686883200363
"72","began",58,0.00219306537603509
"73","my",58,0.00219306537603509
"74","an",57,0.00215525390403448
"75","i m",57,0.00215525390403448
"76","its",57,0.00215525390403448
"77","now",57,0.00215525390403448
"78","by",56,0.00211744243203388
"79","mock",56,0.00211744243203388
"80","turtle",56,0.00211744243203388
"81","gryphon",55,0.00207963096003327
"82","hatter",55,0.00207963096003327
"83","quite",55,0.00207963096003327
"84","it s",54,0.00204181948803267
"85","are",53,0.00200400801603206
"86","think",53,0.00200400801603206
"87","their",52,0.00196619654403146
"88","way",52,0.00196619654403146
"89","just",51,0.00192838507203085
"90","much",51,0.00192838507203085
"91","some",51,0.00192838507203085
"92","go",50,0.00189057360003025
"93","say",50,0.00189057360003025
"94","first",49,0.00185276212802964
"95","only",49,0.00185276212802964
"96","thing",49,0.00185276212802964
"97","which",49,0.00185276212802964
"98","head",48,0.00181495065602904
"99","here",48,0.00181495065602904
"100","more",48,0.00181495065602904
"101","voice",47,0.00177713918402843
"102","get",46,0.00173932771202783
"103","come",45,0.00170151624002722
"104","got",45,0.00170151624002722
"105","looked",45,0.00170151624002722
"106","never",45,0.00170151624002722
"107","must",44,0.00166370476802662
"108","rabbit",43,0.00162589329602601
"109","after",42,0.00158808182402541
"110","him",41,0.0015502703520248
"111","round",41,0.0015502703520248
"112","such",41,0.0015502703520248
"113","came",40,0.0015124588800242
"114","over",40,0.0015124588800242
"115","tone",40,0.0015124588800242
"116","any",39,0.00147464740802359
"117","dormouse",39,0.00147464740802359
"118","duchess",39,0.00147464740802359
"119","great",39,0.00147464740802359
"120","other",39,0.00147464740802359
"121","two",39,0.00147464740802359
"122","why",39,0.00147464740802359
"123","back",38,0.00143683593602299
"124","been",38,0.00143683593602299
"125","mouse",38,0.00143683593602299
"126","oh",38,0.00143683593602299
"127","before",37,0.00139902446402238
"128","from",36,0.00136121299202178
"129","cat",35,0.00132340152002117
"130","can",34,0.00128559004802057
"131","i ve",34,0.00128559004802057
"132","nothing",34,0.00128559004802057
"133","large",33,0.00124777857601996
"134","last",33,0.00124777857601996
"135","march",33,0.00124777857601996
"136","that s",33,0.00124777857601996
"137","found",32,0.00120996710401936
"138","long",32,0.00120996710401936
"139","once",32,0.00120996710401936
"140","hare",31,0.00117215563201875
"141","i ll",31,0.00117215563201875
"142","put",31,0.00117215563201875
"143","right",31,0.00117215563201875
"144","tell",31,0.00117215563201875
"145","will",31,0.00117215563201875
"146","heard",30,0.00113434416001815
"147","looking",30,0.00113434416001815
"148","made",30,0.00113434416001815
"149","next",30,0.00113434416001815
"150","white",30,0.00113434416001815
"151","dear",29,0.00109653268801754
"152","door",29,0.00109653268801754
"153","moment",29,0.00109653268801754
"154","replied",29,0.00109653268801754
"155","we",29,0.00109653268801754
"156","can t",28,0.00105872121601694
"157","look",28,0.00105872121601694
"158","might",28,0.00105872121601694
"159","things",28,0.00105872121601694
"160","caterpillar",27,0.00102090974401633
"161","eyes",27,0.00102090974401633
"162","going",27,0.00102090974401633
"163","poor",27,0.00102090974401633
"164","seemed",27,0.00102090974401633
"165","should",27,0.00102090974401633
"166","make",26,0.00098309827201573
"167","three",26,0.00098309827201573
"168","too",26,0.00098309827201573
"169","upon",26,0.00098309827201573
"170","away",25,0.000945286800015125
"171","day",25,0.000945286800015125
"172","rather",25,0.000945286800015125
"173","shall",25,0.000945286800015125
"174","soon",25,0.000945286800015125
"175","without",25,0.000945286800015125
"176","course",24,0.00090747532801452
"177","good",24,0.00090747532801452
"178","same",24,0.00090747532801452
"179","sure",24,0.00090747532801452
"180","than",24,0.00090747532801452
"181","there s",24,0.00090747532801452
"182","took",24,0.00090747532801452
"183","while",24,0.00090747532801452
"184","won t",24,0.00090747532801452
"185","added",23,0.000869663856013915
"186","felt",23,0.000869663856013915
"187","you re",23,0.000869663856013915
"188","another",22,0.00083185238401331
"189","getting",22,0.00083185238401331
"190","yet",22,0.00083185238401331
"191","ever",21,0.000794040912012705
"192","find",21,0.000794040912012705
"193","half",21,0.000794040912012705
"194","minute",21,0.000794040912012705
"195","take",21,0.000794040912012705
"196","till",21,0.000794040912012705
"197","wish",21,0.000794040912012705
"198","words",21,0.000794040912012705
"199","cried",20,0.0007562294400121
"200","hand",20,0.0007562294400121
"201","however",20,0.0007562294400121
"202","sort",20,0.0007562294400121
"203","anything",19,0.000718417968011495
"204","being",19,0.000718417968011495
"205","curious",19,0.000718417968011495
"206","even",19,0.000718417968011495
"207","feet",19,0.000718417968011495
"208","old",19,0.000718417968011495
"209","please",19,0.000718417968011495
"210","tried",19,0.000718417968011495
"211","court",18,0.00068060649601089
"212","eat",18,0.00068060649601089
"213","house",18,0.00068060649601089
"214","something",18,0.00068060649601089
"215","soup",18,0.00068060649601089
"216","table",18,0.00068060649601089
"217","use",18,0.00068060649601089
"218","wonder",18,0.00068060649601089
"219","asked",17,0.000642795024010285
"220","end",17,0.000642795024010285
"221","enough",17,0.000642795024010285
"222","jury",17,0.000642795024010285
"223","let",17,0.000642795024010285
"224","perhaps",17,0.000642795024010285
"225","question",17,0.000642795024010285
"226","sat",17,0.000642795024010285
"227","side",17,0.000642795024010285
"228","talking",17,0.000642795024010285
"229","bit",16,0.00060498355200968
"230","doesn t",16,0.00060498355200968
"231","hastily",16,0.00060498355200968
"232","high",16,0.00060498355200968
"233","indeed",16,0.00060498355200968
"234","ran",16,0.00060498355200968
"235","spoke",16,0.00060498355200968
"236","turned",16,0.00060498355200968
"237","under",16,0.00060498355200968
"238","am",15,0.000567172080009075
"239","because",15,0.000567172080009075
"240","called",15,0.000567172080009075
"241","done",15,0.000567172080009075
"242","garden",15,0.000567172080009075
"243","gave",15,0.000567172080009075
"244","idea",15,0.000567172080009075
"245","knew",15,0.000567172080009075
"246","near",15,0.000567172080009075
"247","saying",15,0.000567172080009075
"248","air",14,0.00052936060800847
"249","anxiously",14,0.00052936060800847
"250","better",14,0.00052936060800847
"251","both",14,0.00052936060800847
"252","certainly",14,0.00052936060800847
"253","change",14,0.00052936060800847
"254","didn t",14,0.00052936060800847
"255","face",14,0.00052936060800847
"256","hear",14,0.00052936060800847
"257","itself",14,0.00052936060800847
"258","left",14,0.00052936060800847
"259","low",14,0.00052936060800847
"260","mad",14,0.00052936060800847
"261","ought",14,0.00052936060800847
"262","remember",14,0.00052936060800847
"263","saw",14,0.00052936060800847
"264","seen",14,0.00052936060800847
"265","set",14,0.00052936060800847
"266","silence",14,0.00052936060800847
"267","speak",14,0.00052936060800847
"268","suppose",14,0.00052936060800847
"269","talk",14,0.00052936060800847
"270","these",14,0.00052936060800847
"271","through",14,0.00052936060800847
"272","trying",14,0.00052936060800847
"273","us",14,0.00052936060800847
"274","beautiful",13,0.000491549136007865
"275","begin",13,0.000491549136007865
"276","beginning",13,0.000491549136007865
"277","behind",13,0.000491549136007865
"278","cats",13,0.000491549136007865
"279","close",13,0.000491549136007865
"280","cook",13,0.000491549136007865
"281","dance",13,0.000491549136007865
"282","dodo",13,0.000491549136007865
"283","far",13,0.000491549136007865
"284","gone",13,0.000491549136007865
"285","grow",13,0.000491549136007865
"286","kept",13,0.000491549136007865
"287","may",13,0.000491549136007865
"288","people",13,0.000491549136007865
"289","really",13,0.000491549136007865
"290","room",13,0.000491549136007865
"291","sea",13,0.000491549136007865
"292","size",13,0.000491549136007865
"293","still",13,0.000491549136007865
"294","suddenly",13,0.000491549136007865
"295","they re",13,0.000491549136007865
"296","where",13,0.000491549136007865
"297","whole",13,0.000491549136007865
"298","wouldn t",13,0.000491549136007865
"299","yes",13,0.000491549136007865
"300","afraid",12,0.00045373766400726
"301","alice s",12,0.00045373766400726
"302","always",12,0.00045373766400726
"303","among",12,0.00045373766400726
"304","arm",12,0.00045373766400726
"305","baby",12,0.00045373766400726
