"alice" "great_expectations"
"night" 0.0110302228105008 0.100133689127505
"knew" 0.0551511140525039 0.0921442990375448
"another" 0.080888300610339 0.0878832909895659
"make" 0.0992720052945069 0.085220160959579
"once" 0.125009191852342 0.0814917789175974
"always" 0.0477976321788367 0.0921442990375448
"himself" 0.0220604456210015 0.095340055073529
"away" 0.0919185234208398 0.0841549089475843
"tell" 0.117655709978675 0.0804265269056027
"without" 0.0955952643576734 0.0836222829415869
"yes" 0.0477976321788367 0.0889485430015606
"face" 0.0551511140525039 0.0873506649835685
"found" 0.117655709978675 0.0782960228816132
"may" 0.0477976321788367 0.0884159169955632
"sister" 0.0330906684315023 0.0905464210195527
"pocket" 0.018383704684168 0.0916116730315474
"room" 0.0477976321788367 0.0857527869655764
"door" 0.110302228105008 0.075100266845629
"seemed" 0.0992720052945069 0.0756328928516264
"still" 0.0477976321788367 0.0830896569355895
"house" 0.0661813368630046 0.0798939008996053
"mind" 0.0404441503051695 0.0830896569355895
"began" 0.213250974336348 0.0564583566357211
"mrs" 0 0.0873506649835685
"asked" 0.062504595926171 0.0777633968756158
"pumblechook" 0 0.0868180389775711
"why" 0.147069637473344 0.0655129987376764
"under" 0.0588278549893375 0.0777633968756158
"having" 0.0367674093683359 0.0804265269056027
"seen" 0.0551511140525039 0.0777633968756158
"let" 0.080888300610339 0.0724371368156422
"felt" 0.0845650415471726 0.0713718848036474
"young" 0.018383704684168 0.0809591529116001
"left" 0.0514743731156703 0.0756328928516264
"even" 0.0698580777998382 0.0724371368156422
"these" 0.0514743731156703 0.075100266845629
"right" 0.113978969041841 0.0644477467256816
"though" 0.0404441503051695 0.075100266845629
"yet" 0.0919185234208398 0.0655129987376764
"both" 0.0514743731156703 0.0708392587976501
"moment" 0.113978969041841 0.0617846166956948
"something" 0.0661813368630046 0.0687087547736606
"fire" 0.0110302228105008 0.0761655188576237
"same" 0.0882417824840062 0.064980372731679
"told" 0.0220604456210015 0.0745676408396316
"better" 0.0514743731156703 0.0697740067856553
"home" 0.018383704684168 0.0740350148336343
"heard" 0.110302228105008 0.0596541126717053
"place" 0.0294139274946687 0.0713718848036474
"thing" 0.180160305904846 0.0495342185577553
"returned" 0.00735348187366718 0.0740350148336343
"through" 0.0514743731156703 0.0671108767556685
"just" 0.191190528715347 0.0463384625217711
"sir" 0.0257371865578351 0.0697740067856553
"most" 0.0294139274946687 0.0681761287676632
"those" 0.0367674093683359 0.0665782507496711
"life" 0.0404441503051695 0.0655129987376764
"sat" 0.062504595926171 0.0623172427016922
"name" 0.0367674093683359 0.0644477467256816
"stood" 0.0257371865578351 0.064980372731679
"table" 0.0661813368630046 0.0591214866657079
"soon" 0.0919185234208398 0.054860478617729
"gone" 0.0477976321788367 0.0607193646837
"shall" 0.0919185234208398 0.0543278526117316
"course" 0.0919185234208398 0.0532626005997369
"herself" 0.305169497757188 0.0223702922518895
"until" 0.018383704684168 0.0639151207196843
"gentleman" 0 0.0660456247436737
"gave" 0.0551511140525039 0.0569909826417185
"has" 0.0257371865578351 0.0612519906896974
"rather" 0.0919185234208398 0.0516647225817448
"wopsle" 0 0.0633824947136869
"between" 0.0220604456210015 0.0596541126717053
"air" 0.0514743731156703 0.054860478617729
"whether" 0.0404441503051695 0.0564583566357211
"side" 0.062504595926171 0.0521973485877421
"anything" 0.0735348187366718 0.0495342185577553
"light" 0 0.0591214866657079
"because" 0.0551511140525039 0.05059947056975
"next" 0.110302228105008 0.0426100804797895
"coming" 0.0330906684315023 0.0532626005997369
"d" 0.106625487168174 0.0420774544737921
"every" 0.0441208912420031 0.0511320965757474
"re" 0.139716155599676 0.0372838204198158
"three" 0.0955952643576734 0.0431427064857869
"voice" 0.176483564968012 0.0314249343538448
"far" 0.0477976321788367 0.0490015925517579
"m" 0.231634679020516 0.0223702922518895
"brought" 0.0110302228105008 0.0537952266057342
"poor" 0.0992720052945069 0.0410122024617974
"many" 0.0441208912420031 0.0484689665457606
"taken" 0.0147069637473344 0.0527299745937395
"turned" 0.0588278549893375 0.0463384625217711
"want" 0.0330906684315023 0.0495342185577553
"give" 0.0441208912420031 0.0463384625217711
"o" 0.0220604456210015 0.0495342185577553
"question" 0.062504595926171 0.0436753324917842
"words" 0.0772115596735054 0.0415448284677948
"times" 0.0220604456210015 0.0490015925517579
"word" 0.0367674093683359 0.0468710885277685
"best" 0.0441208912420031 0.0452732105097763
"manner" 0.00735348187366718 0.0495342185577553
"replied" 0.106625487168174 0.034620690389829
"often" 0.018383704684168 0.0468710885277685
"else" 0.0441208912420031 0.0426100804797895
"heart" 0.00735348187366718 0.0479363405397632
"since" 0.0147069637473344 0.0468710885277685
"against" 0.0330906684315023 0.0436753324917842
"together" 0.0330906684315023 0.0436753324917842
"ve" 0.161776601220678 0.0250334222818763
"towards" 0.00367674093683359 0.0474037145337658
"enough" 0.0661813368630046 0.0378164464258132
"hope" 0.0110302228105008 0.0458058365157737
"morning" 0.018383704684168 0.044740584503779
"drummle" 0 0.0468710885277685
"part" 0.00735348187366718 0.0458058365157737
"sure" 0.0882417824840062 0.0340880643838316
"whom" 0.00367674093683359 0.0463384625217711
"among" 0.0441208912420031 0.0399469504498027
"behind" 0.0477976321788367 0.0394143244438053
"hair" 0.0257371865578351 0.0426100804797895
"half" 0.0772115596735054 0.0351533163958263
"open" 0.0257371865578351 0.0426100804797895
"set" 0.0514743731156703 0.0388816984378079
"held" 0.0147069637473344 0.0431427064857869
"people" 0.0477976321788367 0.0383490724318106
"white" 0.110302228105008 0.0292944303298553
"ask" 0.0404441503051695 0.0388816984378079
"large" 0.121332450915508 0.0271639263058658
"find" 0.0772115596735054 0.0330228123718369
"keep" 0.0404441503051695 0.0383490724318106
"mean" 0.0367674093683359 0.0388816984378079
"new" 0.018383704684168 0.0415448284677948
"things" 0.110302228105008 0.0276965523118632
"low" 0.0514743731156703 0.0356859424018237
"near" 0.0551511140525039 0.0351533163958263
"oh" 0.165453342157512 0.0191745362159053
"cried" 0.0735348187366718 0.0319575603598421
"london" 0.00367674093683359 0.0420774544737921
"queen" 0.275755570262519 0.00266313002998684
"case" 0.018383704684168 0.0394143244438053
"chair" 0 0.0420774544737921
"mine" 0.0330906684315023 0.0372838204198158
"money" 0 0.0420774544737921
"arm" 0.0441208912420031 0.0351533163958263
"black" 0 0.0415448284677948
"called" 0.0551511140525039 0.0330228123718369
"indeed" 0.0588278549893375 0.0324901863658395
"king" 0.231634679020516 0.00745676408396316
"lay" 0.0147069637473344 0.0383490724318106
"chapter" 0.0441208912420031 0.0335554383778342
"father" 0.0220604456210015 0.0367511944138184
"hear" 0.0514743731156703 0.0324901863658395
"kept" 0.0477976321788367 0.0324901863658395
"passed" 0.018383704684168 0.0367511944138184
"evening" 0.018383704684168 0.0362185684078211
"however" 0.0735348187366718 0.0282291783178605
"making" 0.0294139274946687 0.034620690389829
"stopped" 0.0110302228105008 0.0372838204198158
"whole" 0.0477976321788367 0.0319575603598421
"won" 0.0955952643576734 0.0250334222818763
"leave" 0.0330906684315023 0.0335554383778342
"bed" 0.00367674093683359 0.0372838204198158
"dark" 0.0110302228105008 0.0362185684078211
"didn" 0.0514743731156703 0.03035968234185
"tone" 0.147069637473344 0.0165114061859184
"child" 0.0367674093683359 0.0319575603598421
"few" 0.0330906684315023 0.0324901863658395
"provis" 0 0.0372838204198158
"reason" 0.0330906684315023 0.0324901863658395
"taking" 0.018383704684168 0.034620690389829
"work" 0.0294139274946687 0.0330228123718369
"getting" 0.080888300610339 0.0250334222818763
"hold" 0.0367674093683359 0.0314249343538448
"present" 0.0110302228105008 0.0351533163958263
"state" 0.00367674093683359 0.0362185684078211
"tried" 0.0698580777998382 0.0266313002998684
"business" 0.0257371865578351 0.0324901863658395
"speak" 0.0551511140525039 0.0282291783178605
"wish" 0.0772115596735054 0.0250334222818763
"believe" 0.0330906684315023 0.0308923083478474
"read" 0.0404441503051695 0.0298270563358527
"suppose" 0.0514743731156703 0.0282291783178605
"wanted" 0.0147069637473344 0.0335554383778342
"everything" 0.0514743731156703 0.0276965523118632
"friend" 0.0110302228105008 0.0335554383778342
"hard" 0.0294139274946687 0.0308923083478474
"idea" 0.0551511140525039 0.0271639263058658
"kind" 0.0257371865578351 0.0314249343538448
"woman" 0.00735348187366718 0.0340880643838316
"aged" 0 0.034620690389829
"appeared" 0.0294139274946687 0.03035968234185
"call" 0.0330906684315023 0.0298270563358527
"end" 0.062504595926171 0.0255660482878737
"help" 0.0330906684315023 0.0298270563358527
"person" 0.0147069637473344 0.0324901863658395
"days" 0.0147069637473344 0.0319575603598421
"doubt" 0.0147069637473344 0.0319575603598421
"rest" 0.0367674093683359 0.0287618043238579
"walk" 0.018383704684168 0.0314249343538448
"high" 0.0588278549893375 0.0250334222818763
"kitchen" 0.0147069637473344 0.0314249343538448
"lady" 0.0110302228105008 0.0319575603598421
"love" 0.0110302228105008 0.0319575603598421
"perhaps" 0.062504595926171 0.024500796275879
"sort" 0.0735348187366718 0.0229029182578869
"window" 0.0294139274946687 0.0292944303298553
"became" 0.00735348187366718 0.0319575603598421
"garden" 0.0588278549893375 0.024500796275879
"saying" 0.0551511140525039 0.0250334222818763
"added" 0.0845650415471726 0.0202397882279
"dinner" 0.00735348187366718 0.0314249343538448
"fell" 0.0220604456210015 0.0292944303298553
"town" 0 0.0324901863658395
"yourself" 0.0367674093683359 0.0271639263058658
"answered" 0.0147069637473344 0.0298270563358527
"gate" 0 0.0319575603598421
"close" 0.0477976321788367 0.024500796275879
"orlick" 0 0.0314249343538448
"remember" 0.0514743731156703 0.0239681702698816
"street" 0 0.0314249343538448
"turtle" 0.216927715273182 0
"understand" 0.0220604456210015 0.0282291783178605
"within" 0.00735348187366718 0.03035968234185
"compeyson" 0 0.0308923083478474
"fellow" 0.0147069637473344 0.0287618043238579
"nor" 0.0110302228105008 0.0292944303298553
"says" 0.0147069637473344 0.0287618043238579
"shoulder" 0.0147069637473344 0.0287618043238579
"turn" 0.0367674093683359 0.0255660482878737
"used" 0.0477976321788367 0.0239681702698816
"years" 0.00367674093683359 0.03035968234185
"glad" 0.0404441503051695 0.024500796275879
"hatter" 0.205897492462681 0.000532626005997369
"laid" 0.00735348187366718 0.0292944303298553
"wouldn" 0.0477976321788367 0.0234355442638842
"ain" 0 0.0298270563358527
"answer" 0.0330906684315023 0.0250334222818763
"company" 0.00367674093683359 0.0292944303298553
"guardian" 0 0.0298270563358527
"mock" 0.205897492462681 0
"mouth" 0.0367674093683359 0.024500796275879
"repeated" 0.0367674093683359 0.024500796275879
"small" 0.0367674093683359 0.024500796275879
"strong" 0 0.0298270563358527
"subject" 0.0220604456210015 0.0266313002998684
"alone" 0.0147069637473344 0.0271639263058658
"change" 0.0514743731156703 0.0218376662458921
"eye" 0.0257371865578351 0.0255660482878737
"gryphon" 0.202220751525847 0
"matter" 0.0330906684315023 0.024500796275879
"point" 0 0.0292944303298553
"use" 0.0661813368630046 0.0197071622219026
"walked" 0.0367674093683359 0.0239681702698816
"bad" 0.00735348187366718 0.0276965523118632
"certain" 0.0110302228105008 0.0271639263058658
"pretty" 0.00367674093683359 0.0282291783178605
"ran" 0.0588278549893375 0.0202397882279
"really" 0.0477976321788367 0.0218376662458921
"river" 0 0.0287618043238579
"turning" 0.0441208912420031 0.0223702922518895
"afraid" 0.0441208912420031 0.0218376662458921
"along" 0.0220604456210015 0.0250334222818763
"corner" 0.0147069637473344 0.0260986742938711
"dead" 0.0147069637473344 0.0260986742938711
"feet" 0.0698580777998382 0.0181092842039105
"four" 0.0220604456210015 0.0250334222818763
"men" 0 0.0282291783178605
"short" 0.0147069637473344 0.0260986742938711
"each" 0.0294139274946687 0.0234355442638842
"em" 0.0110302228105008 0.0260986742938711
"five" 0.0294139274946687 0.0234355442638842
"handel" 0 0.0276965523118632
"marshes" 0 0.0276965523118632
"forge" 0 0.0271639263058658
"ready" 0.0294139274946687 0.0229029182578869
"almost" 0.0220604456210015 0.0234355442638842
"arms" 0.0220604456210015 0.0234355442638842
"dropped" 0.018383704684168 0.0239681702698816
"least" 0.0330906684315023 0.0218376662458921
"opened" 0.0367674093683359 0.0213050402398948
"spoke" 0.062504595926171 0.0175766581979132
"wall" 0 0.0266313002998684
"across" 0.018383704684168 0.0234355442638842
"couldn" 0.0330906684315023 0.0213050402398948
"doing" 0.018383704684168 0.0234355442638842
"certainly" 0.0514743731156703 0.0181092842039105
"circumstances" 0.00367674093683359 0.0250334222818763
"cold" 0.00367674093683359 0.0250334222818763
"either" 0.0367674093683359 0.0202397882279
"occasion" 0 0.0255660482878737
"putting" 0.0110302228105008 0.0239681702698816
"sometimes" 0.018383704684168 0.0229029182578869
"strange" 0.018383704684168 0.0229029182578869
"true" 0.0147069637473344 0.0234355442638842
"bit" 0.0588278549893375 0.0165114061859184
"country" 0.00367674093683359 0.024500796275879
"dress" 0 0.0250334222818763
"hour" 0.00735348187366718 0.0239681702698816
"rabbit" 0.172806824031179 0
"standing" 0.00367674093683359 0.024500796275879
"trabb" 0 0.0250334222818763
"whose" 0.00735348187366718 0.0239681702698816
"clock" 0.018383704684168 0.0218376662458921
"known" 0.00367674093683359 0.0239681702698816
"late" 0.0220604456210015 0.0213050402398948
"property" 0 0.024500796275879
"quiet" 0.00735348187366718 0.0234355442638842
"shook" 0.0330906684315023 0.0197071622219026
"till" 0.0772115596735054 0.0133156501499342
"water" 0.0147069637473344 0.0223702922518895
"wind" 0.00735348187366718 0.0234355442638842
"world" 0.0257371865578351 0.0207724142338974
"account" 0.00367674093683359 0.0234355442638842
"boat" 0 0.0239681702698816
"less" 0.0147069637473344 0.0218376662458921
"ought" 0.0514743731156703 0.0165114061859184
"slowly" 0.0294139274946687 0.0197071622219026
"struck" 0.00735348187366718 0.0229029182578869
"try" 0.0441208912420031 0.0175766581979132
"uncle" 0 0.0239681702698816
"afterwards" 0.00735348187366718 0.0223702922518895
"convict" 0 0.0234355442638842
"happened" 0.0257371865578351 0.0197071622219026
"mouse" 0.158099860283844 0.000532626005997369
"presently" 0.00735348187366718 0.0223702922518895
"ah" 0.018383704684168 0.0202397882279
"appearance" 0.00367674093683359 0.0223702922518895
"beginning" 0.0514743731156703 0.0154461541739237
"clothes" 0 0.0229029182578869
"curious" 0.0698580777998382 0.0127830241439369
"duchess" 0.154423119347011 0.000532626005997369
"glass" 0.0330906684315023 0.0181092842039105
"lying" 0.0294139274946687 0.0186419102099079
"mother" 0 0.0229029182578869
"play" 0.0294139274946687 0.0186419102099079
"sent" 0.00735348187366718 0.0218376662458921
"wonder" 0.0661813368630046 0.0133156501499342
"boots" 0.0147069637473344 0.0202397882279
"breakfast" 0 0.0223702922518895
"chap" 0 0.0223702922518895
"coach" 0 0.0223702922518895
"dormouse" 0.147069637473344 0.00106525201199474
"given" 0.00367674093683359 0.0218376662458921
"lost" 0.0110302228105008 0.0207724142338974
"please" 0.0698580777998382 0.0122503981379395
"thinking" 0.0404441503051695 0.0165114061859184
"cut" 0.018383704684168 0.0191745362159053
"friends" 0.00735348187366718 0.0207724142338974
"full" 0.0220604456210015 0.0186419102099079
"ground" 0.018383704684168 0.0191745362159053
"none" 0.0147069637473344 0.0197071622219026
"show" 0.0110302228105008 0.0202397882279
"sitting" 0.0367674093683359 0.0165114061859184
"already" 0.00735348187366718 0.0202397882279
"baby" 0.0477976321788367 0.014380902161929
"clear" 0.00735348187366718 0.0202397882279
"fact" 0.0294139274946687 0.0170440321919158
"family" 0.00367674093683359 0.0207724142338974
"seeing" 0.00367674093683359 0.0207724142338974
"suddenly" 0.0477976321788367 0.014380902161929
"beautiful" 0.0477976321788367 0.0138482761559316
"bring" 0.0110302228105008 0.0191745362159053
"considered" 0.0110302228105008 0.0191745362159053
"does" 0.0330906684315023 0.0159787801799211
"gargery" 0 0.0207724142338974
"general" 0.0110302228105008 0.0191745362159053
"hours" 0.0147069637473344 0.0186419102099079
"letter" 0.0110302228105008 0.0191745362159053
"meant" 0.018383704684168 0.0181092842039105
"talk" 0.0514743731156703 0.0133156501499342
"also" 0.00735348187366718 0.0191745362159053
"book" 0.0257371865578351 0.0165114061859184
"cat" 0.136039414662843 0.000532626005997369
"court" 0.0661813368630046 0.0106525201199474
"feeling" 0.0257371865578351 0.0165114061859184
"figure" 0.0110302228105008 0.0186419102099079
"leg" 0 0.0202397882279
"march" 0.125009191852342 0.00213050402398948
"means" 0.018383704684168 0.0175766581979132
"minute" 0.0772115596735054 0.00905464210195527
"purpose" 0.00367674093683359 0.0197071622219026
"received" 0.00367674093683359 0.0197071622219026
"sergeant" 0 0.0202397882279
"to-morrow" 0 0.0202397882279
"attention" 0 0.0197071622219026
"candle" 0.0110302228105008 0.0181092842039105
"confidence" 0 0.0197071622219026
"drew" 0.018383704684168 0.0170440321919158
"drink" 0.0257371865578351 0.0159787801799211
"floor" 0.0110302228105008 0.0181092842039105
"hardly" 0.0441208912420031 0.0133156501499342
"heavy" 0.00735348187366718 0.0186419102099079
"iron" 0 0.0197071622219026
"legs" 0.0110302228105008 0.0181092842039105
"live" 0.0294139274946687 0.0154461541739237
"master" 0.0110302228105008 0.0181092842039105
"minutes" 0.0404441503051695 0.0138482761559316
"secret" 0.00367674093683359 0.0191745362159053
"sight" 0.0367674093683359 0.014380902161929
"sit" 0.0294139274946687 0.0154461541739237
"thoughts" 0.00735348187366718 0.0186419102099079
"bright" 0.0257371865578351 0.0154461541739237
"children" 0.0367674093683359 0.0138482761559316
"church" 0 0.0191745362159053
"death" 0.00367674093683359 0.0186419102099079
"everybody" 0.0294139274946687 0.0149135281679263
"feel" 0.0294139274946687 0.0149135281679263
"further" 0.0110302228105008 0.0175766581979132
"itself" 0.0514743731156703 0.0117177721319421
"joseph" 0 0.0191745362159053
"lips" 0.00367674093683359 0.0186419102099079
"pale" 0.0147069637473344 0.0170440321919158
"shut" 0.018383704684168 0.0165114061859184
"thus" 0 0.0191745362159053
"top" 0.0294139274946687 0.0149135281679263
"above" 0.0110302228105008 0.0170440321919158
"cannot" 0.00367674093683359 0.0181092842039105
"changed" 0.0294139274946687 0.014380902161929
"deal" 0.0441208912420031 0.0122503981379395
"early" 0 0.0186419102099079
"eat" 0.0661813368630046 0.00905464210195527
"followed" 0.0294139274946687 0.014380902161929
"green" 0.0147069637473344 0.0165114061859184
"office" 0 0.0186419102099079
"opportunity" 0.0294139274946687 0.014380902161929
"pipe" 0 0.0186419102099079
"silence" 0.0514743731156703 0.0111851461259447
"usual" 0.018383704684168 0.0159787801799211
"whenever" 0.00367674093683359 0.0181092842039105
"carried" 0.0147069637473344 0.0159787801799211
"common" 0.00367674093683359 0.0175766581979132
"knowing" 0.00735348187366718 0.0170440321919158
"knowledge" 0.0110302228105008 0.0165114061859184
"nose" 0.0294139274946687 0.0138482761559316
"others" 0.0257371865578351 0.014380902161929
"pursued" 0 0.0181092842039105
"soldiers" 0.0367674093683359 0.0127830241439369
"tide" 0.00367674093683359 0.0175766581979132
"understood" 0.00367674093683359 0.0175766581979132
"wine" 0.00735348187366718 0.0170440321919158
"able" 0.00367674093683359 0.0170440321919158
"blue" 0 0.0175766581979132
"bottle" 0.0367674093683359 0.0122503981379395
"lord" 0 0.0175766581979132
"mentioned" 0.0110302228105008 0.0159787801799211
"natural" 0.0147069637473344 0.0154461541739237
"observed" 0 0.0175766581979132
"opinion" 0.00367674093683359 0.0170440321919158
"particular" 0.0147069637473344 0.0154461541739237
"proud" 0.00735348187366718 0.0165114061859184
"sense" 0.0110302228105008 0.0159787801799211
"skiffins" 0 0.0175766581979132
"supposed" 0 0.0175766581979132
"thank" 0.0147069637473344 0.0154461541739237
"waiting" 0.0330906684315023 0.0127830241439369
"write" 0.0220604456210015 0.014380902161929
"begin" 0.0477976321788367 0.01011989411395
"bill" 0.062504595926171 0.00798939008996053
"character" 0.00367674093683359 0.0165114061859184
"except" 0.0147069637473344 0.0149135281679263
"hare" 0.113978969041841 0.000532626005997369
"notice" 0.018383704684168 0.014380902161929
"several" 0.0147069637473344 0.0149135281679263
"stand" 0.0220604456210015 0.0138482761559316
"talking" 0.062504595926171 0.00798939008996053
"tea" 0.0477976321788367 0.01011989411395
"touched" 0 0.0170440321919158
"asleep" 0.0294139274946687 0.0122503981379395
"blacksmith" 0 0.0165114061859184
"conversation" 0.0330906684315023 0.0117177721319421
"different" 0.0330906684315023 0.0117177721319421
"fall" 0.0257371865578351 0.0127830241439369
"fancy" 0.0257371865578351 0.0127830241439369
"fingers" 0 0.0165114061859184
"instead" 0.0110302228105008 0.0149135281679263
"laughed" 0.00735348187366718 0.0154461541739237
"led" 0.0147069637473344 0.014380902161929
"likely" 0.018383704684168 0.0138482761559316
"nature" 0 0.0165114061859184
"neck" 0.0257371865578351 0.0127830241439369
"nine" 0.018383704684168 0.0138482761559316
"nodded" 0.00367674093683359 0.0159787801799211
"outside" 0.0147069637473344 0.014380902161929
"piece" 0.018383704684168 0.0138482761559316
"shaking" 0.0110302228105008 0.0149135281679263
"sorry" 0.00367674093683359 0.0159787801799211
"stairs" 0.0110302228105008 0.0149135281679263
"startop" 0 0.0165114061859184
"stick" 0.0147069637473344 0.014380902161929
"stop" 0.0220604456210015 0.0133156501499342
"tears" 0.0404441503051695 0.0106525201199474
"trying" 0.0514743731156703 0.00905464210195527
"worse" 0.0110302228105008 0.0149135281679263
"wrong" 0.018383704684168 0.0138482761559316
"afternoon" 0 0.0159787801799211
"anybody" 0 0.0159787801799211
